source_id,target_id,source_name,target_name,edge_type,layer,actor_role_source,actor_role_target,canonical_loan_type,analysis_loan_type,mechanism_type,scope_type,amount_tier,source_support_tier,date_period,date_certainty,date_min_year,date_max_year,weight,record_count,records,episode_count,episode_groups,year_bce_values,collection_values,source_genre_values,verification_status_values,confidence_values
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0035,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed; verboven_only,high
actor_tiro,actor_cicero,Tiro,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44; -45,-44; -45,2,2,ATT-PILOT-0026; FAM-PILOT-0004,2,Silius/Faberius garden-finance thread; Tiro/domestic accounts,44; 45,Atticus; Familiares,letter,latin_controlled_reviewed,high
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0017,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,surety/guarantee,surety/guarantee,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0036,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_cluvian_coheirs,Atticus,Cluvian coheirs,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0017,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_curius,Atticus,Curius,third_party_to_lender_context,third_party_context,third_party,lender,personal loan,personal loan,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0006,1,Tiro/domestic accounts,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_egnatius,Atticus,Egnatius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_publilius,Atticus,Publilius,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,account/nomina claim,account/nomina,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0035,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_quintus_cicero,Atticus,Quintus Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_tiro,Atticus,Tiro,third_party_to_borrower_context,third_party_context,third_party,borrower,personal loan,personal loan,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0006,1,Tiro/domestic accounts,49,Atticus,letter,latin_controlled_reviewed,high
actor_brutus,actor_l_titius_strabo,Brutus,L. Titius Strabo,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,debt repayment,recommendation,private,unknown,Latin-controlled,ciceronian_period,exact,-46,-46,1,1,SEC-STAGED-0057,1,Other/private credit,46,Familiares,letter,verboven_only,high
actor_brutus,actor_p_cornelius,Brutus,P. Cornelius,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,debt repayment,recommendation,private,unknown,Latin-controlled,ciceronian_period,exact,-46,-46,1,1,SEC-STAGED-0057,1,Other/private credit,46,Familiares,letter,verboven_only,high
actor_cicero,actor_aurelius,Cicero,Aurelius,borrower_to_lender,direct_financial,borrower,lender,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,FAM-PILOT-0004,1,Tiro/domestic accounts,44,Familiares,letter,latin_controlled_reviewed,high
actor_cicero,actor_avianius,Cicero,Avianius,borrower_to_lender,direct_financial,borrower,lender,credit arrangement,account/nomina claim,account/nomina,private,unknown,Latin-controlled,ciceronian_period,exact,-46,-46,1,1,FAM-PILOT-0002,1,Other/private credit,46,Familiares,letter,latin_controlled_reviewed,high
actor_cicero,actor_caepio,Cicero,Caepio,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,debt repayment,surety,private,unknown,Latin-controlled,ciceronian_period,exact,-58,-58,1,1,QFR-PILOT-0001,1,Quintus debt thread,58,Quintum,letter,latin_controlled_reviewed,high
actor_cicero,actor_caerellia,Cicero,Caerellia,borrower_to_lender,direct_financial,borrower,lender,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-45,-45,1,1,ATT-PILOT-0026,1,Silius/Faberius garden-finance thread,45,Atticus,letter,latin_controlled_reviewed,high
