source_id,target_id,source_name,target_name,edge_type,layer,actor_role_source,actor_role_target,canonical_loan_type,analysis_loan_type,mechanism_type,scope_type,amount_tier,source_support_tier,date_period,date_certainty,date_min_year,date_max_year,weight,record_count,records,episode_count,episode_groups,year_bce_values,collection_values,source_genre_values,verification_status_values,confidence_values
actor_athens,actor_atticus,Athens,Atticus,borrower_to_lender,direct_financial,borrower,lender,credit arrangement,refinancing/versura,refinancing/versura,comparative,unknown,Latin-controlled,ciceronian_period,range,-86,-65,1,1,SEC-STAGED-0015,1,Other/private credit,,,biography,verboven_only,high
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,credit arrangement,refinancing/versura,refinancing/versura,private,descriptive,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0003,1,Philotimus/Philogenes accounts,49,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_lender_context,third_party_context,third_party,lender,surety/guarantee,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0037,1,Dolabella debt/account thread,44,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_dolabella,Atticus,Dolabella,third_party_to_borrower_context,third_party_context,third_party,borrower,surety/guarantee,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0037,1,Dolabella debt/account thread,44,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_egnatius,Atticus,Egnatius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_oppius,Atticus,Oppius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,refinancing/versura,refinancing/versura,private,descriptive,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0003,1,Philotimus/Philogenes accounts,49,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_quintus_cicero,Atticus,Quintus Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_cicero,actor_atticus,Cicero,Atticus,borrower_to_lender,direct_financial,borrower,lender,credit arrangement,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-51,-51,1,1,ATT-PILOT-0019,1,Other/private credit,51,Atticus,letter,latin_controlled_reviewed,medium
actor_cicero,actor_egnatius,Cicero,Egnatius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_cicero,actor_hortensius,Cicero,Hortensius,borrower_to_lender,direct_financial,borrower,lender,debt repayment,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0029,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
