chain_id,record_id,source_letter_id,episode_group,year_bce,borrower_or_stressed_actor,creditor_or_pressure_source,intermediaries,mechanism_type,stress_intensity_score,stress_intensity_class,fallback_types,status,latin_evidence,stress_rationale
O4-CHAIN-001,ATT-PILOT-0017,Att. 16.6,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Cicero (1),Cluvian coheirs (1),Atticus (1); Cluvian coheirs (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,owed,"nomina mea, per deos, expedi, exsolve... coheredibus pro Cluviano Kal. Sextil. persolutum ut sit",account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-001,ATT-PILOT-0029,Att. 16.2,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Cicero (1),Hortensius (1),Eros (1),refinancing/versura,4,high_refinancing_or_repayment_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; new_borrowing_or_versura,owed,nihil enim debetur ei nisi ex tertia pensione quae est Kal. Sext.; ex qua pensione ipsa maior pars est ei soluta aliquanto ante diem,refinancing/versura signal; third-party/context dependency
O4-CHAIN-001,ATT-PILOT-0030,Att. 16.2,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Cicero (1),Publilius (1),,repayment pressure,2,moderate_pressure,collection_from_debtor_or_failed_source,owed,"de Publilio autem... de residuis C_C_C_C_ HS C_C_ praesentia solverimus, reliqua rescribamus",repayment-pressure signal; normalized amount available
O4-CHAIN-001,ATT-PILOT-0035,Att. 16.6,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Cicero (1),Publilius (1),Atticus (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation,owed,"Cum Publilio quo modo agendum sit videbis. non debet urgere, quoniam iure non utimur. sed tamen ei quoque satis fieri plane volo",account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-001,ATT-PILOT-0036,Att. 16.6,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Cicero (1),,Atticus (1),account/nomina,1,indirect_liquidity_management,account_or_nomen_transfer; friend_or_agent_intermediation; surety_or_security,owed,"Terentiae vero quid ego dicam? etiam ante diem, si potes... hoc quod satis dato debeo peto a te ut ante provideas planeque expedias et solutum relinquas",account/nomina liquidity signal; surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-002,ATT-PILOT-0021,Att. 7.8,Caelius/Caesar obligation,50,Cicero (1),Caesar (1),,repayment pressure,2,moderate_pressure,collection_from_debtor_or_failed_source,owed,solvendi sunt nummi Caesari et instrumentum triumphi eo conferendum,repayment-pressure signal
O4-CHAIN-002,SEC-STAGED-0032,Att. 5.21,Caelius/Caesar obligation,50,P. Valerius (1),,M. Anneius (1); Q. Paconius Lepta (1),surety,1,indirect_liquidity_management,friend_or_agent_intermediation; surety_or_security,unclear,"...estate Euphraten transiturus sit. quo autem die Cassi litterae victrices in senatu recitatae sunt, datae Nonis Octobribus, eodem meae tumultum nuntiantes. Axius noster ait nostras auctoritatis plenas fuisse, illis negat creditum. Bibuli nondum erant adlatae; quas certo scio plenas timoris fore. [3] ex his rebus hoc vereor ne cum Pompeius propter metum rerum novarum nusquam dimittatur, Caesari nullus honos a senatu habeatur, dum hic nodus expediatur, non putet senatus nos ante quam successum sit oportere decedere ne...",surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-002,SEC-STAGED-0069,Fam. 2.12; Fam. 8.2; Fam. 8.4; Fam. 8.8; Fam. 8.9; Fam. 8.11,Caelius/Caesar obligation,50,,Caelius (1),Caelius (1); Cicero (1),account/nomina,3,moderate_pressure,account_or_nomen_transfer; collection_from_debtor_or_failed_source; friend_or_agent_intermediation,disputed,"Syngrapham Sittianam tibi commendo. ... Saepius te admoneo de syngrapha Sittiana ... Sittianamque syngrapham tibi commendo ... Tibi curae fuisse de Sittiano negotio gaudeo ... tamquam procurator, sic agas, rogo.",repayment-pressure signal; account/nomina liquidity signal; third-party/context dependency
O4-CHAIN-002,SEC-STAGED-0089,Suet. Iul. 18.1; Plut. Caes. 11.1,Caelius/Caesar obligation,61,Caesar (1),,Crassus (1),surety,1,indirect_liquidity_management,friend_or_agent_intermediation; surety_or_security,guaranteed,retinentes creditores interventu sponsorum removit. Plutarch Greek not locally checked; local English translation confirms surety for eight hundred and thirty talents.,surety/guarantee pressure signal; third-party/context dependency
O4-CHAIN-003,ATT-PILOT-0025,Att. 12.14,Cornificius surety,45,Cornificius (1),Iunius (1),Appuleius (1); Cicero (1); Cornificius (1),surety,3,moderate_pressure,collection_from_debtor_or_failed_source; friend_or_agent_intermediation; surety_or_security,disputed,quod scribis a Iunio te appellatum... scire velim quando dicar spopondisse et pro patre anne pro filio,repayment-pressure signal; surety/guarantee pressure signal; third-party/context dependency
