source_id,target_id,source_name,target_name,edge_type,layer,actor_role_source,actor_role_target,canonical_loan_type,analysis_loan_type,mechanism_type,scope_type,amount_tier,source_support_tier,date_period,date_certainty,date_min_year,date_max_year,weight,record_count,records,episode_count,episode_groups,year_bce_values,collection_values,source_genre_values,verification_status_values,confidence_values
actor_appius_claudius,actor_brutus,Appius Claudius,Brutus,third_party_to_lender_context,third_party_context,third_party,lender,interest/usury,account/nomina claim,account/nomina,public,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,SEC-STAGED-0020,1,Other/private credit,50,Atticus,letter,verboven_only,high
actor_appius_claudius,actor_salamis,Appius Claudius,Salamis,third_party_to_borrower_context,third_party_context,third_party,borrower,interest/usury,account/nomina claim,account/nomina,public,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,SEC-STAGED-0020,1,Other/private credit,50,Atticus,letter,verboven_only,high
actor_appuleius,actor_cornificius,Appuleius,Cornificius,third_party_to_borrower_context,third_party_context,third_party,borrower,surety/guarantee,surety/guarantee,surety,private,unknown,Latin-controlled,ciceronian_period,exact,-45,-45,1,1,ATT-PILOT-0025,1,Cornificius surety,45,Atticus,letter,latin_controlled_reviewed,medium
actor_appuleius,actor_iunius,Appuleius,Iunius,third_party_to_lender_context,third_party_context,third_party,lender,surety/guarantee,surety/guarantee,surety,private,unknown,Latin-controlled,ciceronian_period,exact,-45,-45,1,1,ATT-PILOT-0025,1,Cornificius surety,45,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,debt repayment,repayment pressure,private,unknown,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,SEC-STAGED-0074,1,Other/private credit,50,Atticus,letter,verboven_only,medium
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,ambiguous financial obligation,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-48,-48,1,1,SEC-STAGED-0077,1,Other/private credit,48,Atticus,letter,verboven_only,low
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,account/nomina claim,account/nomina,private,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,ATT-PILOT-0020,1,Philotimus/Philogenes accounts,50,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_lender_context,third_party_context,third_party,lender,surety/guarantee,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0037,1,Dolabella debt/account thread,44,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_dolabella,Atticus,Dolabella,third_party_to_borrower_context,third_party_context,third_party,borrower,surety/guarantee,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0037,1,Dolabella debt/account thread,44,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_egnatius,Atticus,Egnatius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_numerius_of_puteoli,Atticus,Numerius of Puteoli,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,debt repayment,repayment pressure,private,unknown,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,SEC-STAGED-0074,1,Other/private credit,50,Atticus,letter,verboven_only,medium
actor_atticus,actor_philotimus,Atticus,Philotimus,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,private,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,ATT-PILOT-0020,1,Philotimus/Philogenes accounts,50,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_quintus_cicero,Atticus,Quintus Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_quintus_cicero,Atticus,Quintus Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,debt repayment,repayment pressure,political,normalized,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,SEC-STAGED-0045,1,Quintus debt thread,44,Atticus,letter,verboven_only,high
actor_atticus,actor_tullia_s_creditors,Atticus,Tullia's creditors,third_party_to_lender_context,third_party_context,third_party,lender,ambiguous financial obligation,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-48,-48,1,1,SEC-STAGED-0077,1,Other/private credit,48,Atticus,letter,verboven_only,low
actor_caecilius,actor_a_caninius_satyrus,Caecilius,A. Caninius Satyrus,borrower_to_lender,direct_financial,borrower,lender,debt repayment,debt repayment,repayment pressure,private,unknown,Latin-controlled,ciceronian_period,exact,-65,-65,1,1,ATT-PILOT-0001,1,Other/private credit,65,Atticus,letter,latin_controlled_reviewed,medium
actor_caecilius,actor_p_varius,Caecilius,P. Varius,borrower_to_lender,direct_financial,borrower,lender,debt repayment,debt repayment,repayment pressure,private,unknown,Latin-controlled,ciceronian_period,exact,-65,-65,1,1,ATT-PILOT-0001,1,Other/private credit,65,Atticus,letter,latin_controlled_reviewed,medium
actor_camillus,actor_cicero,Camillus,Cicero,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,account/nomina claim,account/nomina,public,normalized,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,ATT-PILOT-0031,1,Philotimus/Philogenes accounts,50,Atticus,letter,latin_controlled_reviewed,medium
actor_camillus,actor_philotimus,Camillus,Philotimus,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,public,normalized,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,ATT-PILOT-0031,1,Philotimus/Philogenes accounts,50,Atticus,letter,latin_controlled_reviewed,medium
actor_cicero,actor_brutus,Cicero,Brutus,third_party_to_lender_context,third_party_context,third_party,lender,interest/usury,account/nomina claim,account/nomina,public,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,SEC-STAGED-0020,1,Other/private credit,50,Atticus,letter,verboven_only,high
actor_cicero,actor_caelius,Cicero,Caelius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,credit arrangement,account/nomina,ambiguous,unknown,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,SEC-STAGED-0069,1,Caelius/Caesar obligation,50,Familiares,letter,verboven_only,medium
actor_cicero,actor_caesar,Cicero,Caesar,borrower_to_lender,direct_financial,borrower,lender,debt repayment,debt repayment,repayment pressure,private,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,ATT-PILOT-0021,1,Caelius/Caesar obligation,50,Atticus,letter,latin_controlled_reviewed,medium
