actor_type,scope_type,edge_count,direct_edge_count,third_party_context_edge_count,actor_count,record_count,top_actors,top_mechanisms,top_analysis_loan_types
civic_body,civic,2,1,1,1,1,city of Dyrrhachium (2),recommendation (2),ambiguous financial obligation (2)
civic_body,comparative,1,1,0,1,1,Athens (1),refinancing/versura (1),refinancing/versura (1)
civic_body,public,24,8,16,9,9,Salamis (5); Arpinum (3); Greek provincial communities (3); Nicaea (3); city of Byllis (3),account/nomina (8); surety (6); repayment pressure (3); political/civic finance (3); ambiguous (2),debt repayment (9); account/nomina claim (5); interest/usury (4); ambiguous financial obligation (4); credit arrangement (2)
collective_group,ambiguous,3,2,1,1,2,amici (3),ambiguous (3),ambiguous financial obligation (3)
collective_group,comparative,14,8,6,7,6,borrowers under Verres' scheme (4); Sicilian tax company (3); Antony creditors (2); friends of Cato (2); Crassus' amici (1),political/civic finance (9); surety (2); ambiguous (2); repayment pressure (1),personal loan (10); surety/guarantee (2); ambiguous financial obligation (1); credit arrangement (1)
collective_group,household,6,2,4,2,2,Cluvian coheirs (3); Tullia's creditors (3),account/nomina (6),account/nomina claim (6)
collective_group,public,9,1,8,4,5,publicani (3); Cluvius procurators (3); procuratores (2); Brutus Albinus friends (1),repayment pressure (4); surety (3); political/civic finance (1); recommendation (1),debt repayment (5); interest/usury (3); ambiguous financial obligation (1)
estate,public,1,1,0,1,1,Scapula estate (1),account/nomina (1),surety/guarantee (1)
family_or_household,ambiguous,7,2,5,1,3,Quintus Cicero (7),ambiguous (5); political/civic finance (2),ambiguous financial obligation (7)
family_or_household,household,12,1,11,2,7,Terentia (7); Tullia (5),account/nomina (5); repayment pressure (2); surety (2); ambiguous (2); refinancing/versura (1),debt repayment (4); ambiguous financial obligation (4); account/nomina claim (3); refinancing/versura (1)
family_or_household,political,2,1,1,1,1,Quintus Cicero (2),repayment pressure (2),debt repayment (2)
family_or_household,private,11,3,8,1,3,Quintus Cicero (11),refinancing/versura (7); surety (3); direct loan (1),refinancing/versura (7); debt repayment (3); personal loan (1)
family_or_household,public,2,0,2,1,1,Quintus Cicero (2),political/civic finance (2),ambiguous financial obligation (2)
freedman_or_agent,ambiguous,2,0,2,1,1,Eros (2),account/nomina (2),credit arrangement (2)
freedman_or_agent,household,11,2,9,1,6,Tiro (11),account/nomina (10); refinancing/versura (1),account/nomina claim (4); personal loan (2); credit arrangement (2); debt repayment (2); refinancing/versura (1)
freedman_or_agent,private,9,2,7,3,5,Philotimus (4); Eros (4); Philogenes (1),account/nomina (5); refinancing/versura (4),refinancing/versura (4); account/nomina claim (3); debt repayment (2)
freedman_or_agent,public,5,1,4,3,3,Philotimus (2); Eros (2); Tiro (1),account/nomina (5),account/nomina claim (2); debt repayment (2); personal loan (1)
individual,ambiguous,54,18,36,16,13,Cicero (20); Atticus (9); Buthrotum (3); Plancus (3); Castricius (3),ambiguous (18); recommendation (10); account/nomina (10); surety (10); political/civic finance (6),ambiguous financial obligation (36); credit arrangement (10); surety/guarantee (8)
individual,civic,10,4,6,4,4,Cicero (5); C. Flavius (2); Caerellia (2); Caelius (1),recommendation (4); account/nomina (3); direct loan (2); ambiguous (1),ambiguous financial obligation (5); account/nomina claim (3); personal loan (2)
individual,comparative,62,30,32,34,21,Marc Antony (4); Verres (4); Atticus (3); C. Scribonius Curio (3); Caesar (3),surety (22); political/civic finance (16); refinancing/versura (7); repayment pressure (7); direct loan (6),personal loan (21); surety/guarantee (20); debt repayment (6); ambiguous financial obligation (5); credit arrangement (5)
individual,household,59,17,42,13,15,Cicero (23); Atticus (10); Curius (4); Caerellia (4); P. Sallustius (3),account/nomina (43); repayment pressure (8); ambiguous (4); surety (2); refinancing/versura (2),account/nomina claim (29); debt repayment (14); ambiguous financial obligation (6); personal loan (4); surety/guarantee (2)
individual,political,2,1,1,1,1,Atticus (2),repayment pressure (2),debt repayment (2)
individual,private,183,62,121,45,31,Cicero (51); Atticus (17); Egnatius (7); Dolabella (6); Caecilius (6),repayment pressure (48); refinancing/versura (39); account/nomina (29); surety (29); ambiguous (19),debt repayment (57); refinancing/versura (39); credit arrangement (27); account/nomina claim (23); surety/guarantee (22)
individual,public,85,17,68,27,25,Cicero (28); Brutus (7); Atticus (3); L. Lucceius (3); M. Anneius (3),account/nomina (28); surety (17); repayment pressure (16); recommendation (10); political/civic finance (8),ambiguous financial obligation (30); debt repayment (29); account/nomina claim (13); interest/usury (5); credit arrangement (4)
professional_financier,civic,1,1,0,1,1,C. Vestorius (1),ambiguous (1),ambiguous financial obligation (1)
professional_financier,private,1,1,0,1,1,Selicius (1),ambiguous (1),credit arrangement (1)
professional_financier,public,12,2,10,3,5,Cluvius (8); Matinius (2); Scaptius (2),repayment pressure (5); account/nomina (4); recommendation (3),debt repayment (7); account/nomina claim (4); ambiguous financial obligation (1)
public_body,civic,1,0,1,1,1,provincial governor (1),account/nomina (1),account/nomina claim (1)
public_body,comparative,5,1,4,2,2,Roman state grain funds (3); Roman state (2),political/civic finance (3); surety (2),personal loan (3); surety/guarantee (2)
public_body,public,2,0,2,1,1,Senate (2),political/civic finance (2),credit arrangement (2)
