record_id,amount_instance_id,source_letter_id,episode_group,borrower,lender,mechanism_type,stress_intensity_score,stress_intensity_class,amount_role,amount_original,normalized_amount_hs,include_in_scale_strict,include_in_scale_candidate,normalization_certainty,exclusion_reason
ATT-PILOT-0003,ATT-PILOT-0003-AMT-01,Att. 5.1; Att. 5.4-5.6,Philotimus/Philogenes accounts,Cicero,Caesar,refinancing/versura,4,high_refinancing_or_repayment_pressure,account_debt,DCCC / HS x_x_ et d_c_c_c_,800000,no,yes,latin_roman_hs_reviewed,confidence=medium
ATT-PILOT-0007,ATT-PILOT-0007-AMT-01,Att. 10.11,Other/private credit,Q. Axius' son,Cicero,repayment pressure,3,moderate_pressure,loan_principal,HS XIII,13000,yes,yes,explicit_numeric_hs,
ATT-PILOT-0012,ATT-PILOT-0012-AMT-01,Att. 12.25,Silius/Faberius garden-finance thread,Cicero,Silius; Faberius,ambiguous,1,indirect_liquidity_management,purchase_funding_source,HS D_C_ ab Hermogene,600000,no,yes,explicit_roman_hs_translation_checked,amount_role=purchase_funding_source
ATT-PILOT-0012,ATT-PILOT-0012-AMT-02,Att. 12.25,Silius/Faberius garden-finance thread,Cicero,Silius; Faberius,ambiguous,1,indirect_liquidity_management,available_cash_purchase_funding,HS D_C_ domi,600000,no,yes,explicit_roman_hs_translation_checked,amount_role=available_cash_purchase_funding
ATT-PILOT-0014,ATT-PILOT-0014-AMT-01,Att. 15.20,Tiro/domestic accounts,Cicero,,refinancing/versura,4,high_refinancing_or_repayment_pressure,debt_principal,HS C_C_,200000,yes,yes,latin_roman_hs_reviewed,
ATT-PILOT-0018,ATT-PILOT-0018-AMT-01,Att. 16.15,Tiro/domestic accounts,L. Tullius Montanus,Plancus,refinancing/versura,5,high_refinancing_or_repayment_pressure,consolidated_loan_balance,HS XXV,25000,yes,yes,explicit_numeric_hs,
ATT-PILOT-0023,ATT-PILOT-0023-AMT-01,Att. 11.11,Sallustius settlement,Cicero,P. Sallustius,repayment pressure,3,moderate_pressure,debt_principal,HS XXX,30000,no,yes,explicit_roman_hs,confidence=medium
ATT-PILOT-0027,ATT-PILOT-0027-AMT-01,Att. 12.52,Montanus/Flaminius surety thread,L. Tullius Montanus,Plancus,surety,1,indirect_liquidity_management,surety_amount,HS XX,20000,yes,yes,explicit_roman_hs,
ATT-PILOT-0030,ATT-PILOT-0030-AMT-01,Att. 16.2,Att. 16.6 Cluvian-Publilius-Terentia cluster,Cicero,Publilius,repayment pressure,2,moderate_pressure,prior_balance,residuis C_C_C_C_,400000,no,no,latin_roman_hs_reviewed,confidence=medium; amount_role=prior_balance
ATT-PILOT-0030,ATT-PILOT-0030-AMT-02,Att. 16.2,Att. 16.6 Cluvian-Publilius-Terentia cluster,Cicero,Publilius,repayment pressure,2,moderate_pressure,partial_payment,HS C_C_ praesentia solverimus,200000,no,no,latin_roman_hs_reviewed,confidence=medium; amount_role=partial_payment
