source_id,target_id,source_name,target_name,edge_type,layer,actor_role_source,actor_role_target,canonical_loan_type,analysis_loan_type,mechanism_type,scope_type,amount_tier,source_support_tier,date_period,date_certainty,date_min_year,date_max_year,weight,record_count,records,episode_count,episode_groups,year_bce_values,collection_values,source_genre_values,verification_status_values,confidence_values
actor_athens,actor_atticus,Athens,Atticus,borrower_to_lender,direct_financial,borrower,lender,credit arrangement,refinancing/versura,refinancing/versura,comparative,unknown,Latin-controlled,ciceronian_period,range,-86,-65,1,1,VRB-STAGED-0015,1,Other/private credit,,,biography,verboven_only,high
actor_buthrotum,actor_plancus,Buthrotum,Plancus,borrower_to_lender,direct_financial,borrower,lender,ambiguous financial obligation,ambiguous financial obligation,recommendation,ambiguous,unknown,Latin-controlled,ciceronian_period,exact,-46,-46,1,1,VRB-STAGED-0064,1,Montanus/Flaminius surety thread,46,Familiares,letter,verboven_only,low
actor_caecilius,actor_a_caninius_satyrus,Caecilius,A. Caninius Satyrus,borrower_to_lender,direct_financial,borrower,lender,debt repayment,debt repayment,repayment pressure,private,unknown,Latin-controlled,ciceronian_period,exact,-65,-65,1,1,ATT-PILOT-0001,1,Other/private credit,65,Atticus,letter,latin_controlled_reviewed,medium
actor_caecilius,actor_p_varius,Caecilius,P. Varius,borrower_to_lender,direct_financial,borrower,lender,debt repayment,debt repayment,repayment pressure,private,unknown,Latin-controlled,ciceronian_period,exact,-65,-65,1,1,ATT-PILOT-0001,1,Other/private credit,65,Atticus,letter,latin_controlled_reviewed,medium
actor_cicero,actor_arpinum,Cicero,Arpinum,borrower_to_lender,direct_financial,borrower,lender,debt repayment,debt repayment,account/nomina,public,normalized,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,VRB-STAGED-0072,1,Other/private credit,44,Atticus,letter,verboven_only,high
actor_cicero,actor_atticus,Cicero,Atticus,borrower_to_lender,direct_financial,borrower,lender,credit arrangement,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-51,-51,1,1,ATT-PILOT-0019,1,Other/private credit,51,Atticus,letter,latin_controlled_reviewed,medium
actor_cicero,actor_atticus,Cicero,Atticus,borrower_to_lender,direct_financial,borrower,lender,credit arrangement,credit arrangement,account/nomina,ambiguous,unknown,Latin-controlled,ciceronian_period,exact,-45,-45,1,1,VRB-STAGED-0025,1,Other/private credit,45,Atticus,letter,verboven_only,medium
actor_cicero,actor_atticus,Cicero,Atticus,borrower_to_lender,direct_financial,borrower,lender,personal loan,personal loan,direct loan,private,unknown,Latin-controlled,ciceronian_period,exact,-46,-46,1,1,VRB-STAGED-0092,1,Quintus debt thread,46,Atticus,letter,verboven_only,medium
actor_cicero,actor_atticus,Cicero,Atticus,borrower_to_lender,direct_financial,borrower,lender,ambiguous financial obligation,ambiguous financial obligation,ambiguous,household,unknown,Latin-controlled,ciceronian_period,exact,-48,-48,1,1,VRB-STAGED-0095,1,Other/private credit,48,Atticus,letter,verboven_only,low
actor_cicero,actor_aurelius,Cicero,Aurelius,borrower_to_lender,direct_financial,borrower,lender,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,FAM-PILOT-0004,1,Tiro/domestic accounts,44,Familiares,letter,latin_controlled_reviewed,high
