source_id,target_id,source_name,target_name,edge_type,layer,actor_role_source,actor_role_target,canonical_loan_type,analysis_loan_type,mechanism_type,scope_type,amount_tier,source_support_tier,date_period,date_certainty,date_min_year,date_max_year,weight,record_count,records,episode_count,episode_groups,year_bce_values,collection_values,source_genre_values,verification_status_values,confidence_values
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0035,2,Att. 16.6 Cluvian-Publilius-Terentia cluster; Other/private credit,44,Atticus,letter,latin_controlled_reviewed; verboven_only,high; medium
actor_tiro,actor_cicero,Tiro,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44; -45,-44; -45,2,2,ATT-PILOT-0026; FAM-PILOT-0004,2,Silius/Faberius garden-finance thread; Tiro/domestic accounts,44; 45,Atticus; Familiares,letter,latin_controlled_reviewed,high
actor_appius_claudius,actor_brutus,Appius Claudius,Brutus,third_party_to_lender_context,third_party_context,third_party,lender,interest/usury,account/nomina claim,account/nomina,public,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,VRB-STAGED-0020,1,Other/private credit,50,Atticus,letter,verboven_only,high
actor_appius_claudius,actor_salamis,Appius Claudius,Salamis,third_party_to_borrower_context,third_party_context,third_party,borrower,interest/usury,account/nomina claim,account/nomina,public,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,VRB-STAGED-0020,1,Other/private credit,50,Atticus,letter,verboven_only,high
actor_appuleius,actor_cornificius,Appuleius,Cornificius,third_party_to_borrower_context,third_party_context,third_party,borrower,surety/guarantee,surety/guarantee,surety,private,unknown,Latin-controlled,ciceronian_period,exact,-45,-45,1,1,ATT-PILOT-0025,1,Cornificius surety,45,Atticus,letter,latin_controlled_reviewed,medium
actor_appuleius,actor_iunius,Appuleius,Iunius,third_party_to_lender_context,third_party_context,third_party,lender,surety/guarantee,surety/guarantee,surety,private,unknown,Latin-controlled,ciceronian_period,exact,-45,-45,1,1,ATT-PILOT-0025,1,Cornificius surety,45,Atticus,letter,latin_controlled_reviewed,medium
actor_athens,actor_atticus,Athens,Atticus,borrower_to_lender,direct_financial,borrower,lender,credit arrangement,refinancing/versura,refinancing/versura,comparative,unknown,Latin-controlled,ciceronian_period,range,-86,-65,1,1,VRB-STAGED-0015,1,Other/private credit,,,biography,verboven_only,high
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,credit arrangement,refinancing/versura,refinancing/versura,private,descriptive,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0003,1,Philotimus/Philogenes accounts,49,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0017,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,surety/guarantee,surety/guarantee,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0036,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_borrower_context,third_party_context,third_party,borrower,ambiguous financial obligation,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-48,-48,1,1,VRB-STAGED-0077,1,Other/private credit,48,Atticus,letter,verboven_only,low
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,account/nomina claim,account/nomina,private,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,ATT-PILOT-0020,1,Philotimus/Philogenes accounts,50,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_cicero,Atticus,Cicero,third_party_to_lender_context,third_party_context,third_party,lender,surety/guarantee,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0037,1,Dolabella debt/account thread,44,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_cluvian_coheirs,Atticus,Cluvian coheirs,third_party_to_lender_context,third_party_context,third_party,lender,debt repayment,account/nomina claim,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0017,1,Att. 16.6 Cluvian-Publilius-Terentia cluster,44,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_curius,Atticus,Curius,third_party_to_lender_context,third_party_context,third_party,lender,personal loan,personal loan,account/nomina,household,unknown,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0006,1,Tiro/domestic accounts,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_dolabella,Atticus,Dolabella,third_party_to_borrower_context,third_party_context,third_party,borrower,surety/guarantee,refinancing/versura,refinancing/versura,private,unknown,Latin-controlled,ciceronian_period,exact,-44,-44,1,1,ATT-PILOT-0037,1,Dolabella debt/account thread,44,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_egnatius,Atticus,Egnatius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,refinancing/versura,refinancing/versura,private,normalized,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0005,1,Quintus debt thread,49,Atticus,letter,latin_controlled_reviewed,high
actor_atticus,actor_oppius,Atticus,Oppius,third_party_to_lender_context,third_party_context,third_party,lender,credit arrangement,refinancing/versura,refinancing/versura,private,descriptive,Latin-controlled,ciceronian_period,exact,-49,-49,1,1,ATT-PILOT-0003,1,Philotimus/Philogenes accounts,49,Atticus,letter,latin_controlled_reviewed,medium
actor_atticus,actor_philotimus,Atticus,Philotimus,third_party_to_borrower_context,third_party_context,third_party,borrower,debt repayment,account/nomina claim,account/nomina,private,descriptive,Latin-controlled,ciceronian_period,exact,-50,-50,1,1,ATT-PILOT-0020,1,Philotimus/Philogenes accounts,50,Atticus,letter,latin_controlled_reviewed,medium
