record_id,source_layer,source_citation,date,year_bce,calculation_window,borrower_raw,lender_raw,borrower_key,lender_key,third_parties,status,loan_type,confidence,amount_raw,currency_or_unit,core_eligibility,verification_status,primary_source_verified,exposure_group_id,exposure_group_key,provisional_scope,provisional_stock_role,stock_counting_rule,amount_rule,decision_status,review_flags,method_notes
ATT-PILOT-0001,canonical_core,Att. 1.1,"Rome, shortly before 17 July 65 B.C. [65 BCE]",65,65-50 BCE,Caecilius and other creditors,P. Varius estate / A. Caninius Satyrus as opposing party,caecilius and other creditors,p varius estate caninius satyrus as opposing party,L. Lucullus; P. Scipio; L. Pontius,disputed,debt repayment,medium,,,,latin_controlled_reviewed,,EG-CLEAN-0058,65-50 BCE|caecilius and other creditors|p varius estate caninius satyrus as opposing party,private_or_unclear_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0002,canonical_core,Att. 1.12,"Rome, January 1, 61 B.C. [61 BCE]",61,65-50 BCE,Cicero,Caecilius; Considius; Axius; Selicius,cicero,caecilius considius axius selicius,,requested,credit arrangement,medium,,nummi,,latin_controlled_reviewed,,EG-CLEAN-0056,65-50 BCE|cicero|caecilius considius axius selicius,private_or_unclear_review,demand_signal_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,multiple_party_label;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0003,canonical_core,Att. 5.1; Att. 5.4-5.6,Scr. Minturnis vi Id. Mai. a. 703 (51); continuation in Att. 5.4-5.6 [49 BCE],49,49-44 BCE,Cicero,Oppius,cicero,oppius,Atticus as facilitator; Philotimus as account agent,requested,credit arrangement,medium,,HS notation under review,,latin_controlled_reviewed,,EG-CLEAN-0010,49-44 BCE|cicero|oppius,cicero_household_or_direct_review,demand_signal_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,multiple_party_label;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0004,canonical_core,Att. 7.3,Scr. Formiis prid. Non. Dec. a. 704 (50) [50 BCE],50,65-50 BCE,Cicero,Caelius (banker),cicero,caelius banker,,requested,personal loan,high,,nummi,,latin_controlled_reviewed,,EG-CLEAN-0066,65-50 BCE|cicero|caelius banker,cicero_household_or_direct_review,demand_signal_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0005,canonical_core,Att. 7.18; Att. 10.15; Cic. Att. 16.16c,Scr. Formiis iii Id. Febr. a. 705 (49) [49 BCE]; Scr. Cumanis vi Id. Mai. a. 705 (49) [49 BCE]; 44 BCE,49,49-44 BCE,Quintus Cicero,L. Egnatius Rufus,quintus cicero,l egnatius rufus,Q. Titinius; L. Ligus; Axius; Pomponia; Cicero; Atticus,overdue,credit arrangement,high,12000,HS,,latin_controlled_reviewed,,EG-CLEAN-0045,49-44 BCE|quintus cicero|l egnatius rufus,private_or_unclear_review,possible_active_stock,single_record_exposure_pending_group_review,missing_amount_review,human_reviewed_appendix_merge,multiple_party_label;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.; Exposure group consolidated by 2026-07-13 appendix human review.
ATT-PILOT-0006,canonical_core,Att. 8.6,Scr. Formiis iv Non. Mart. a. 705 (49) [49 BCE],49,49-44 BCE,Tiro,others; possibly Curius as fallback,tiro,others possibly curius as fallback,Atticus,advanced,personal loan,high,,,,latin_controlled_reviewed,,EG-CLEAN-0050,49-44 BCE|tiro|others possibly curius as fallback,private_or_unclear_review,possible_active_or_flow_review,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,multiple_party_label;missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0007,canonical_core,Att. 10.11,Scr. Cumanis iii Non. Mai. a. 705 (49) [49 BCE],49,49-44 BCE,Q. Axius' son,Cicero,q axius son,cicero,Q. Axius,overdue,personal loan,high,13000,HS,,latin_controlled_reviewed,,EG-CLEAN-0042,49-44 BCE|q axius son|cicero,cicero_household_or_direct_review,possible_active_stock,single_record_exposure_pending_group_review,observed_amount_needs_amount_table_join,provisional_rule_based,,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0009,canonical_core,Att. 11.3,Scr. Dyrrhachi Id. Iun. a. 706 (48) [48 BCE],48,49-44 BCE,Pompey or Pompeian cause,Cicero,pompey or pompeian cause,cicero,,advanced,personal loan,medium,,,,latin_controlled_reviewed,,EG-CLEAN-0040,49-44 BCE|pompey or pompeian cause|cicero,cicero_household_or_direct_review,possible_active_or_flow_review,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0010,canonical_core,Att. 11.13,Scr. Brundisii Id. Mart. a. 707 (47) [47 BCE],47,49-44 BCE,Cicero,Atticus' steward and others,cicero,atticus steward and others,Quintus,advanced,personal loan,high,,,,latin_controlled_reviewed,,EG-CLEAN-0008,49-44 BCE|cicero|atticus steward and others,cicero_household_or_direct_review,possible_active_or_flow_review,single_record_exposure_pending_group_review,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
ATT-PILOT-0011,canonical_core,Att. 12.22,Scr. Asturae xv K. Apr. a. 709 (45) [45 BCE],45,49-44 BCE,Cicero,Silius,cicero,silius,,requested,credit arrangement,high,,,,latin_controlled_reviewed,,EG-CLEAN-0021,49-44 BCE|cicero|silius,cicero_household_or_direct_review,demand_signal_review,manual_review_required,missing_amount_review,provisional_rule_based_needs_review,missing_amount,Clean Stage 1 provisional grouping from canonical borrower/lender/window only; no legacy group ids used.
